Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
C20,453012135,85.5569965,27.9978134,358108.945,3097799.045,2723.21,99.2660995,126.3552431
C21,453019137,85.5565427,27.9977731,358064.263,3097795.109,2705.09,99.3154282,126.2979282
C22,453013028,85.5559691,27.998178,358008.383,3097840.64,2661.57,99.2779745,126.1157292
C23,453005569,85.5555113,27.9985659,357963.875,3097884.148,2627.82,99.3354514,128.3087616
C24,453013267,85.5548955,27.9985733,357903.323,3097885.686,2608.19,99.2913542,126.9979977
C25,453013792,85.5543497,27.9985194,357849.573,3097880.347,2590.39,99.3052894,126.7458218
C41,453013407,85.5547209,28.00062,357888.837,3098112.652,2546.92,99.1242477,126.4653588
C42,453011866,85.5542701,28.0012117,357845.279,3098178.735,2531.16,99.1354051,126.7759375
C43,453013504,85.5539173,28.0020569,357811.699,3098272.786,2512.35,99.1488542,126.5010532
C44,453013752,85.5532483,28.0020726,357745.927,3098275.302,2503.74,99.1643866,124.8313079
C45,453012314,85.5528283,28.0019378,357704.455,3098260.858,2501.55,99.1741088,126.2407523
C46,453012862,85.5524655,28.0020126,357668.875,3098269.575,2483.75,99.1753356,125.9772569
C47,453013755,85.5517558,28.0024826,357599.698,3098322.477,2461.25,99.1980208,126.6921644
C48,453013276,85.551141,28.0024738,357539.233,3098322.22,2463.56,99.1863542,126.4771644
C49,453012901,85.5506228,28.0021819,357487.885,3098290.478,2449.72,99.2141551,126.1244097
C50,453013581,85.5501997,28.0021692,357446.267,3098289.565,2437.36,99.2075579,126.2303125
C51,453013078,85.5497667,28.0022459,357403.783,3098298.572,2422.02,99.2364931,125.790081
C52,453005488,85.5491847,28.0013903,357345.424,3098204.458,2384.42,99.2267708,127.2514699
C53,453013211,85.5486583,28.0017177,357294.089,3098241.349,2369.43,99.2606134,126.4725347
C54,453012097,85.548182,28.0017341,357247.272,3098243.718,2359.74,99.2398495,126.8356597
C55,453014023,85.5475981,28.0019759,357190.176,3098271.194,2323.85,99.2604514,126.0309838
C56,453013409,85.5471786,28.0023291,357149.386,3098310.823,2304.02,99.3051736,126.9154282
C57,453012886,85.5466807,28.0027237,357100.947,3098355.125,2289.85,99.3106134,126.6761458
C58,453011762,85.546135,28.0025158,357047.001,3098332.722,2267.77,99.3171412,125.8546181
C59,453014318,85.5457199,28.0022762,357005.869,3098306.671,2256.96,99.3332755,126.8757755
C60,453011678,85.5451637,28.0022327,356951.112,3098302.498,2233.06,99.339919,126.5696181
C61,453012841,85.5447526,28.0021874,356910.628,3098297.959,2232.39,99.3591088,127.418831
